Numero billet;Commande;Reservation;Date reservation;Heure reservation;Cle spectacle;Spectacle;Cle representation;Representation;Date representation;Heure representation;Date fin representation;Heure fin representation;Prix;Date acces;Heure acces;Tarif;Type de client;Type de produit;Serie;Etage;Filiere de vente;Nom;Prenom;Email;Adresse;Code postal;Pays;Age;Sexe
1491871;346792;838375;0002-06-15;;497;QUARTETT;3372;QUARTETT;0002-06-15;2000-01-01 20:00:00 UTC;0002-06-15;2000-01-01 21:00:00 UTC;12.0;;;Tarif Promo -26 ans;0;Place individuelle;1er Serie;CORBEILLE;DIGITICK;SIGRIST;Camilla;Camilla.SIGRIST@mail.fr;145 Av Cacajao calvus;69007;France;;
1491872;346800;838453;0002-06-15;;497;QUARTETT;3376;QUARTETT;0006-06-15;2000-01-01 20:00:00 UTC;0006-06-15;2000-01-01 21:00:00 UTC;12.0;;;Tarif Promo -26 ans;0;Place individuelle;1er Serie;CORBEILLE;DIGITICK;BETHENCOURT;ENRICO;ENRICO.BETHENCOURT@mail.fr;145 Av Cacajao calvus;69007;France;;
1491873;346800;838453;0002-06-15;;497;QUARTETT;3376;QUARTETT;0006-06-15;2000-01-01 20:00:00 UTC;0006-06-15;2000-01-01 21:00:00 UTC;20.0;;;Tarif Internaute;0;Place individuelle;1er Serie;CORBEILLE;DIGITICK;BETHENCOURT;ENRICO;ENRICO.BETHENCOURT@mail.fr;145 Av Cacajao calvus;69007;France;;
1491874;346812;838564;0002-06-15;;497;QUARTETT;3372;QUARTETT;0002-06-15;2000-01-01 20:00:00 UTC;0002-06-15;2000-01-01 21:00:00 UTC;12.0;;;Tarif Promo -26 ans;0;Place individuelle;1er Serie;ORCHESTRE;DIGITICK;SORLIN;Hacene;Hacene.SORLIN@mail.fr;11 rue Dacelo leachii;70400;France;;
1491875;346812;838564;0002-06-15;;497;QUARTETT;3372;QUARTETT;0002-06-15;2000-01-01 20:00:00 UTC;0002-06-15;2000-01-01 21:00:00 UTC;20.0;;;Tarif Internaute;0;Place individuelle;1er Serie;ORCHESTRE;DIGITICK;SORLIN;Hacene;Hacene.SORLIN@mail.fr;11 rue Dacelo leachii;70400;France;;
1491876;346813;838565;0002-06-15;;498;REPETITION;3377;REPETITION;0009-06-15;2000-01-01 20:00:00 UTC;0009-06-15;2000-01-01 22:00:00 UTC;17.0;0009-06-15;2000-01-01 19:55:12 UTC;Dem Emploi w;0;Place individuelle;2eme Serie;CORBEILLE;DIGITICK;BONNASSSIEUX;ANDREAS;ANDREAS.BONNASSSIEUX@mail.fr;130 Boulevard Damaliscus Korrigum;44100;France;;
1491877;346815;838571;0002-06-15;;497;QUARTETT;3375;QUARTETT;0005-06-15;2000-01-01 20:00:00 UTC;0005-06-15;2000-01-01 21:00:00 UTC;20.0;;;Tarif Internaute;0;Place individuelle;1er Serie;ORCHESTRE;DIGITICK;CHASTAN;MARCO;MARCO.CHASTAN@mail.fr;130 Boulevard Damaliscus Korrigum;44100;France;69;
1491878;346817;838580;0002-06-15;;497;QUARTETT;3375;QUARTETT;0005-06-15;2000-01-01 20:00:00 UTC;0005-06-15;2000-01-01 21:00:00 UTC;20.0;;;Tarif Internaute;0;Place individuelle;1er Serie;CORBEILLE;DIGITICK;CHAREL;SHEILA;SHEILA.CHAREL@mail.fr;130 Boulevard Damaliscus Korrigum;44100;France;;
1491879;346817;838580;0002-06-15;;497;QUARTETT;3375;QUARTETT;0005-06-15;2000-01-01 20:00:00 UTC;0005-06-15;2000-01-01 21:00:00 UTC;20.0;;;Tarif Internaute;0;Place individuelle;1er Serie;CORBEILLE;DIGITICK;CHAREL;SHEILA;SHEILA.CHAREL@mail.fr;130 Boulevard Damaliscus Korrigum;44100;France;;
1491880;346818;838581;0002-06-15;;497;QUARTETT;3372;QUARTETT;0002-06-15;2000-01-01 20:00:00 UTC;0002-06-15;2000-01-01 21:00:00 UTC;20.0;;;Tarif Internaute;0;Place individuelle;1er Serie;ORCHESTRE;DIGITICK;PESSINE;claire;claire.PESSINE@mail.fr;32 avenue Dasyprocta punctata;69007;France;;
1491881;346819;838582;0002-06-15;;497;QUARTETT;3372;QUARTETT;0002-06-15;2000-01-01 20:00:00 UTC;0002-06-15;2000-01-01 21:00:00 UTC;20.0;;;Tarif Internaute;0;Place individuelle;1er Serie;ORCHESTRE;DIGITICK;LACHAUD;Malgorzata;Malgorzata.LACHAUD@mail.fr;32 avenue Dasyprocta punctata;69007;France;;
1491882;346821;838607;0002-06-15;;498;REPETITION;3377;REPETITION;0009-06-15;2000-01-01 20:00:00 UTC;0009-06-15;2000-01-01 22:00:00 UTC;17.0;0009-06-15;2000-01-01 19:54:39 UTC;Dem Emploi w;0;Place individuelle;2eme Serie;CORBEILLE;DIGITICK;LIPSON;Tanja;Tanja.LIPSON@mail.fr;32 avenue Dasyprocta punctata;69007;France;;
1491883;346821;838607;0002-06-15;;498;REPETITION;3377;REPETITION;0009-06-15;2000-01-01 20:00:00 UTC;0009-06-15;2000-01-01 22:00:00 UTC;17.0;0009-06-15;2000-01-01 19:54:39 UTC;Dem Emploi w;0;Place individuelle;2eme Serie;CORBEILLE;DIGITICK;LIPSON;Tanja;Tanja.LIPSON@mail.fr;32 avenue Dasyprocta punctata;69007;France;;
1491884;346824;838626;0002-06-15;;498;REPETITION;3378;REPETITION;0010-06-15;2000-01-01 20:00:00 UTC;0010-06-15;2000-01-01 22:00:00 UTC;17.0;0010-06-15;2000-01-01 19:49:53 UTC;Dem Emploi w;0;Place individuelle;2eme Serie;BALCON;DIGITICK;MINGASSON;Darren;Darren.MINGASSON@mail.fr;32 avenue Dasyprocta punctata;69007;France;;
1491885;346824;838626;0002-06-15;;498;REPETITION;3378;REPETITION;0010-06-15;2000-01-01 20:00:00 UTC;0010-06-15;2000-01-01 22:00:00 UTC;17.0;0010-06-15;2000-01-01 19:49:53 UTC;Dem Emploi w;0;Place individuelle;2eme Serie;BALCON;DIGITICK;MINGASSON;Darren;Darren.MINGASSON@mail.fr;32 avenue Dasyprocta punctata;69007;France;;
1491886;346825;838627;0002-06-15;;497;QUARTETT;3375;QUARTETT;0005-06-15;2000-01-01 20:00:00 UTC;0005-06-15;2000-01-01 21:00:00 UTC;12.0;;;Tarif Promo -26 ans;0;Place individuelle;1er Serie;ORCHESTRE;DIGITICK;COLINDRE;Emma;Emma.COLINDRE@mail.fr;32 avenue Dasyprocta punctata;69007;France;;
1491887;346828;838635;0002-06-15;;497;QUARTETT;3373;QUARTETT;0003-06-15;2000-01-01 20:00:00 UTC;0003-06-15;2000-01-01 21:00:00 UTC;12.0;;;Tarif Promo -26 ans;0;Place individuelle;2eme Serie;BALCON;DIGITICK;LAFARGUE;Marie Claude;Marie Claude.LAFARGUE@mail.fr;32 avenue Dasyprocta punctata;69007;France;;
1491888;346828;838635;0002-06-15;;497;QUARTETT;3373;QUARTETT;0003-06-15;2000-01-01 20:00:00 UTC;0003-06-15;2000-01-01 21:00:00 UTC;12.0;;;Tarif Promo -26 ans;0;Place individuelle;2eme Serie;BALCON;DIGITICK;LAFARGUE;Marie Claude;Marie Claude.LAFARGUE@mail.fr;32 avenue Dasyprocta punctata;69007;France;;
1491889;346829;838636;0002-06-15;;498;REPETITION;3378;REPETITION;0010-06-15;2000-01-01 20:00:00 UTC;0010-06-15;2000-01-01 22:00:00 UTC;17.0;0010-06-15;2000-01-01 19:52:58 UTC;Dem Emploi w;0;Place individuelle;2eme Serie;CORBEILLE;DIGITICK;MANGOT;Tanguy;Tanguy.MANGOT@mail.fr;8 impasse Delphinapterus leucas;69008;France;;
1491890;346829;838636;0002-06-15;;498;REPETITION;3378;REPETITION;0010-06-15;2000-01-01 20:00:00 UTC;0010-06-15;2000-01-01 22:00:00 UTC;17.0;0010-06-15;2000-01-01 19:53:03 UTC;Dem Emploi w;0;Place individuelle;2eme Serie;CORBEILLE;DIGITICK;MANGOT;Tanguy;Tanguy.MANGOT@mail.fr;8 impasse Delphinapterus leucas;69008;France;;
1491891;346833;838668;0002-06-15;;498;REPETITION;3381;REPETITION;0013-06-15;2000-01-01 20:00:00 UTC;0013-06-15;2000-01-01 22:00:00 UTC;23.0;0013-06-15;2000-01-01 19:46:25 UTC;Plein tarif w;0;Place individuelle;3eme Serie;BALCON;DIGITICK;THIEN;Michel-Hubert;Michel-Hubert.THIEN@mail.fr;8 impasse Delphinapterus leucas;69008;France;;
1491892;346833;838668;0002-06-15;;498;REPETITION;3381;REPETITION;0013-06-15;2000-01-01 20:00:00 UTC;0013-06-15;2000-01-01 22:00:00 UTC;23.0;0013-06-15;2000-01-01 19:46:18 UTC;Plein tarif w;0;Place individuelle;3eme Serie;BALCON;DIGITICK;THIEN;Michel-Hubert;Michel-Hubert.THIEN@mail.fr;8 impasse Delphinapterus leucas;69008;France;;
1491893;346837;838687;0002-06-15;;497;QUARTETT;3374;QUARTETT;0004-06-15;2000-01-01 20:00:00 UTC;0004-06-15;2000-01-01 21:00:00 UTC;20.0;;;Tarif Internaute;0;Place individuelle;1er Serie;ORCHESTRE;DIGITICK;SAULNIER;LEO;LEO.SAULNIER@mail.fr;8 impasse Delphinapterus leucas;69008;France;;
1491894;346060;838741;0002-06-15;;555;VILLA + DISCURSO;3721;VILLA + DISCURSO;0006-04-16;2000-01-01 20:30:00 UTC;0006-04-16;2000-01-01 21:30:00 UTC;19.0;;;Carte C??lestins;0;Place individuelle;Serie unique;GRADIN;GUICHET;BROCHU;Steeve;Steeve.BROCHU@mail.fr;8 impasse Delphinapterus leucas;69008;France;50;
1491895;346060;838741;0002-06-15;;555;VILLA + DISCURSO;3721;VILLA + DISCURSO;0006-04-16;2000-01-01 20:30:00 UTC;0006-04-16;2000-01-01 21:30:00 UTC;19.0;;;Carte C??lestins;0;Place individuelle;Serie unique;GRADIN;GUICHET;BROCHU;Steeve;Steeve.BROCHU@mail.fr;8 impasse Delphinapterus leucas;69008;France;50;
1491896;;838742;0002-06-15;;549;COMMENT VOUS RACONTEZ LA PARTIE?;3584;COMMENT VOUS RACONTEZ LA PARTIE?;0011-12-15;2000-01-01 20:00:00 UTC;0011-12-15;2000-01-01 21:30:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;COLLIN;NICOLA;NICOLA.COLLIN@mail.fr;8 impasse Delphinapterus leucas;69008;France;62;
1491897;;838742;0002-06-15;;549;COMMENT VOUS RACONTEZ LA PARTIE?;3584;COMMENT VOUS RACONTEZ LA PARTIE?;0011-12-15;2000-01-01 20:00:00 UTC;0011-12-15;2000-01-01 21:30:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;COLLIN;NICOLA;NICOLA.COLLIN@mail.fr;8 impasse Delphinapterus leucas;69008;France;62;
1491898;346814;838567;0002-06-15;;537;Jeux de massacre de Ionesco;3533;Jeux de massacre de Ionesco;0002-10-15;2000-01-01 20:00:00 UTC;0002-10-15;2000-01-01 22:30:00 UTC;22.0;0002-10-15;2000-01-01 19:48:47 UTC;ABO Online;0;Abonnement;2eme Serie;CORBEILLE;DIGITICK;DONOT;ARIA;ARIA.DONOT@mail.fr;55 rue du Harpia harpyja;69002;France;;
1491899;346814;838570;0002-06-15;;545;WAR SWEET WAR;3551;WAR SWEET WAR;0006-11-15;2000-01-01 20:00:00 UTC;0006-11-15;2000-01-01 21:40:00 UTC;27.0;0006-11-15;2000-01-01 19:51:20 UTC;ABO Online;0;Abonnement;1er Serie;ORCHESTRE;DIGITICK;DONOT;ARIA;ARIA.DONOT@mail.fr;55 rue du Harpia harpyja;69002;France;;
1491900;346814;838568;0002-06-15;;543;KISS &amp; CRY;3651;KISS &amp; CRY;0005-02-16;2000-01-01 20:00:00 UTC;0005-02-16;2000-01-01 22:00:00 UTC;22.0;;;ABO Online;0;Abonnement;2eme Serie;CORBEILLE;DIGITICK;DONOT;ARIA;ARIA.DONOT@mail.fr;55 rue du Harpia harpyja;69002;France;;
1491901;346814;838566;0002-06-15;;551;MORT D&#39;UN COMMIS VOYAGEUR;3670;MORT D&#39;UN COMMIS VOYAGEUR;0004-03-16;2000-01-01 20:00:00 UTC;0004-03-16;2000-01-01 22:00:00 UTC;22.0;;;ABO Online;0;Abonnement;2eme Serie;CORBEILLE;DIGITICK;DONOT;ARIA;ARIA.DONOT@mail.fr;55 rue du Harpia harpyja;69002;France;;
1491902;346814;838569;0002-06-15;;556;DISPERSION;3731;DISPERSION;0020-05-16;2000-01-01 19:00:00 UTC;0020-05-16;2000-01-01 23:30:00 UTC;22.0;;;ABO Online;0;Abonnement;2eme Serie;CORBEILLE;DIGITICK;DONOT;ARIA;ARIA.DONOT@mail.fr;55 rue du Harpia harpyja;69002;France;;
1491909;;838744;0002-06-15;;537;Jeux de massacre de Ionesco;3532;Jeux de massacre de Ionesco;0001-10-15;2000-01-01 20:00:00 UTC;0001-10-15;2000-01-01 22:30:00 UTC;27.0;0001-10-15;2000-01-01 19:50:40 UTC;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;BETTIOL;MARIELLE;MARIELLE.BETTIOL@mail.fr;85 rue Furcifer pardalis;69004;France;81;
1491910;;838744;0002-06-15;;537;Jeux de massacre de Ionesco;3532;Jeux de massacre de Ionesco;0001-10-15;2000-01-01 20:00:00 UTC;0001-10-15;2000-01-01 22:30:00 UTC;27.0;0001-10-15;2000-01-01 19:50:36 UTC;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;BETTIOL;MARIELLE;MARIELLE.BETTIOL@mail.fr;85 rue Furcifer pardalis;69004;France;81;
1491911;;838747;0002-06-15;;548;DISPLACED WOMEN;3572;DISPLACED WOMEN;0026-11-15;2000-01-01 20:00:00 UTC;0026-11-15;2000-01-01 23:00:00 UTC;27.0;0026-11-15;2000-01-01 19:37:27 UTC;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;BETTIOL;MARIELLE;MARIELLE.BETTIOL@mail.fr;85 rue Furcifer pardalis;69004;France;81;
1491912;;838747;0002-06-15;;548;DISPLACED WOMEN;3572;DISPLACED WOMEN;0026-11-15;2000-01-01 20:00:00 UTC;0026-11-15;2000-01-01 23:00:00 UTC;27.0;0026-11-15;2000-01-01 19:37:32 UTC;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;BETTIOL;MARIELLE;MARIELLE.BETTIOL@mail.fr;85 rue Furcifer pardalis;69004;France;81;
1491913;;838758;0002-06-15;;549;COMMENT VOUS RACONTEZ LA PARTIE?;3584;COMMENT VOUS RACONTEZ LA PARTIE?;0011-12-15;2000-01-01 20:00:00 UTC;0011-12-15;2000-01-01 21:30:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;BETTIOL;MARIELLE;MARIELLE.BETTIOL@mail.fr;85 rue Furcifer pardalis;69004;France;81;
1491914;;838758;0002-06-15;;549;COMMENT VOUS RACONTEZ LA PARTIE?;3584;COMMENT VOUS RACONTEZ LA PARTIE?;0011-12-15;2000-01-01 20:00:00 UTC;0011-12-15;2000-01-01 21:30:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;BETTIOL;MARIELLE;MARIELLE.BETTIOL@mail.fr;85 rue Furcifer pardalis;69004;France;81;
1491915;;838745;0002-06-15;;538;887;3588;887;0016-12-15;2000-01-01 20:00:00 UTC;0016-12-15;2000-01-01 21:15:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;BETTIOL;MARIELLE;MARIELLE.BETTIOL@mail.fr;85 rue Furcifer pardalis;69004;France;81;
1491916;;838745;0002-06-15;;538;887;3588;887;0016-12-15;2000-01-01 20:00:00 UTC;0016-12-15;2000-01-01 21:15:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;BETTIOL;MARIELLE;MARIELLE.BETTIOL@mail.fr;85 rue Furcifer pardalis;69004;France;81;
1491917;;838748;0002-06-15;;552;PLATONOV;3694;PLATONOV;0010-03-16;2000-01-01 20:00:00 UTC;0010-03-16;2000-01-01 22:00:00 UTC;15.0;;;Abonnement mouettes;0;Abonnement;Serie unique;;GUICHET;BETTIOL;MARIELLE;MARIELLE.BETTIOL@mail.fr;85 rue Furcifer pardalis;69004;France;81;
1491918;;838748;0002-06-15;;552;PLATONOV;3694;PLATONOV;0010-03-16;2000-01-01 20:00:00 UTC;0010-03-16;2000-01-01 22:00:00 UTC;15.0;;;Abonnement mouettes;0;Abonnement;Serie unique;;GUICHET;BETTIOL;MARIELLE;MARIELLE.BETTIOL@mail.fr;85 rue Furcifer pardalis;69004;France;81;
1491919;;838743;0002-06-15;;551;MORT D&#39;UN COMMIS VOYAGEUR;3679;MORT D&#39;UN COMMIS VOYAGEUR;0016-03-16;2000-01-01 20:00:00 UTC;0016-03-16;2000-01-01 22:00:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;BETTIOL;MARIELLE;MARIELLE.BETTIOL@mail.fr;85 rue Furcifer pardalis;69004;France;81;
1491920;;838743;0002-06-15;;551;MORT D&#39;UN COMMIS VOYAGEUR;3679;MORT D&#39;UN COMMIS VOYAGEUR;0016-03-16;2000-01-01 20:00:00 UTC;0016-03-16;2000-01-01 22:00:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;BETTIOL;MARIELLE;MARIELLE.BETTIOL@mail.fr;85 rue Furcifer pardalis;69004;France;81;
1491921;;838749;0002-06-15;;554;YO MATE A PINOCHET;3714;YO MATE A PINOCHET;0005-04-16;2000-01-01 20:00:00 UTC;0005-04-16;2000-01-01 21:30:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;BETTIOL;MARIELLE;MARIELLE.BETTIOL@mail.fr;85 rue Furcifer pardalis;69004;France;81;
1491922;;838749;0002-06-15;;554;YO MATE A PINOCHET;3714;YO MATE A PINOCHET;0005-04-16;2000-01-01 20:00:00 UTC;0005-04-16;2000-01-01 21:30:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;BETTIOL;MARIELLE;MARIELLE.BETTIOL@mail.fr;85 rue Furcifer pardalis;69004;France;81;
1491923;;838769;0002-06-15;;557;ORESTEA;3738;ORESTEA;0001-06-16;2000-01-01 20:00:00 UTC;0001-06-16;2000-01-01 21:30:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;BETTIOL;MARIELLE;MARIELLE.BETTIOL@mail.fr;85 rue Furcifer pardalis;69004;France;81;
1491924;;838769;0002-06-15;;557;ORESTEA;3738;ORESTEA;0001-06-16;2000-01-01 20:00:00 UTC;0001-06-16;2000-01-01 21:30:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;BETTIOL;MARIELLE;MARIELLE.BETTIOL@mail.fr;85 rue Furcifer pardalis;69004;France;81;
1491925;;838775;0002-06-15;;537;Jeux de massacre de Ionesco;3532;Jeux de massacre de Ionesco;0001-10-15;2000-01-01 20:00:00 UTC;0001-10-15;2000-01-01 22:30:00 UTC;27.0;0001-10-15;2000-01-01 19:50:42 UTC;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;DEBLOCK;Vassilii;Vassilii.DEBLOCK@mail.fr;85 rue Furcifer pardalis;69004;France;81;
1491926;;838777;0002-06-15;;548;DISPLACED WOMEN;3572;DISPLACED WOMEN;0026-11-15;2000-01-01 20:00:00 UTC;0026-11-15;2000-01-01 23:00:00 UTC;27.0;0026-11-15;2000-01-01 19:37:27 UTC;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;DEBLOCK;Vassilii;Vassilii.DEBLOCK@mail.fr;85 rue Furcifer pardalis;69004;France;81;
1491927;;838778;0002-06-15;;549;COMMENT VOUS RACONTEZ LA PARTIE?;3584;COMMENT VOUS RACONTEZ LA PARTIE?;0011-12-15;2000-01-01 20:00:00 UTC;0011-12-15;2000-01-01 21:30:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;DEBLOCK;Vassilii;Vassilii.DEBLOCK@mail.fr;85 rue Furcifer pardalis;69004;France;81;
1491928;;838776;0002-06-15;;538;887;3588;887;0016-12-15;2000-01-01 20:00:00 UTC;0016-12-15;2000-01-01 21:15:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;DEBLOCK;Vassilii;Vassilii.DEBLOCK@mail.fr;85 rue Furcifer pardalis;69004;France;81;
1491929;;838779;0002-06-15;;552;PLATONOV;3694;PLATONOV;0010-03-16;2000-01-01 20:00:00 UTC;0010-03-16;2000-01-01 22:00:00 UTC;15.0;;;Abonnement mouettes;0;Abonnement;Serie unique;;GUICHET;DEBLOCK;Vassilii;Vassilii.DEBLOCK@mail.fr;85 rue Furcifer pardalis;69004;France;81;
1491930;;838774;0002-06-15;;551;MORT D&#39;UN COMMIS VOYAGEUR;3679;MORT D&#39;UN COMMIS VOYAGEUR;0016-03-16;2000-01-01 20:00:00 UTC;0016-03-16;2000-01-01 22:00:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;DEBLOCK;Vassilii;Vassilii.DEBLOCK@mail.fr;85 rue Furcifer pardalis;69004;France;81;
1491931;;838780;0002-06-15;;554;YO MATE A PINOCHET;3714;YO MATE A PINOCHET;0005-04-16;2000-01-01 20:00:00 UTC;0005-04-16;2000-01-01 21:30:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;DEBLOCK;Vassilii;Vassilii.DEBLOCK@mail.fr;85 rue Furcifer pardalis;69004;France;81;
1491932;;838781;0002-06-15;;557;ORESTEA;3738;ORESTEA;0001-06-16;2000-01-01 20:00:00 UTC;0001-06-16;2000-01-01 21:30:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;DEBLOCK;Vassilii;Vassilii.DEBLOCK@mail.fr;85 rue Furcifer pardalis;69004;France;81;
1491933;;838784;0002-06-15;;537;Jeux de massacre de Ionesco;3532;Jeux de massacre de Ionesco;0001-10-15;2000-01-01 20:00:00 UTC;0001-10-15;2000-01-01 22:30:00 UTC;27.0;0001-10-15;2000-01-01 19:50:42 UTC;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;DEBLOCK;Vassilii;Vassilii.DEBLOCK@mail.fr;85 rue Furcifer pardalis;69004;France;81;
1491934;;838786;0002-06-15;;548;DISPLACED WOMEN;3572;DISPLACED WOMEN;0026-11-15;2000-01-01 20:00:00 UTC;0026-11-15;2000-01-01 23:00:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;DEBLOCK;Vassilii;Vassilii.DEBLOCK@mail.fr;85 rue Furcifer pardalis;69004;France;81;
